Climate,Environment_Type,Feature,Latitude,Longitude,Location
Temperate,Flat,Many different features,51.341294,2.648347,Chew Stoke, UK
Temperate,Flat,Many different features,55.360132,11.558208,Suserup, DK
Temperate,Flat,Many different features,32.278283,-82.720334,Glenwood, USA
Temperate,Flat,Many different features,45.153006,-69.333197,Sangerville, USA
Temperate,Flat,Many different features,48.578875,-1.252642,Saint-Laurent-de-Terregatte, France
Temperate,Flat,One feature: fields,49.29732,4.583587,Orfeuil, France
Temperate,Flat,One feature: forests,52.668738,23.758429,Puszcza Białowieska, Pologne
Temperate,Flat,One feature: waterways,52.6157711622207,1.60060306317937,The Broads National Park, UK
Temperate,Flat,One feature: Roads,40.7887227887736,-88.9468665054608,McLean, USA
Temperate,Flat,One feature: ?,,,
Temperate,Flat,Water heavy,46.5435953664409,-89.941929851357,Wakefield Township, USA
Temperate,Flat,Water heavy,55.808401710098,11.950155112765817,Jægerspris, Denmark
Temperate,Flat,Water heavy,52.8291580321954,4.864062127616984,Slootdorp, The Netherlands
Temperate,Flat,Water heavy,37.759607769476,-76.3553947956702,Hardings, USA
Temperate,Flat,Water heavy,53.9091960386377,11.283101409164392,Hohenkirchen, Tyskland
Temperate,Mountainous,Many different features,46.8265127522274,9.83830402184241,Davos, Switzerland
Temperate,Mountainous,Many different features,45.7029165747228,6.415801583995766,Le grand village, France
Temperate,Mountainous,Many different features,51.8529288806832,-3.374092471406765,Merthyr Tydfil, UK
Temperate,Mountainous,Many different features,45.599168,2.739522,Murat-le-Quaire, France
Temperate,Mountainous,Many different features,47.229553,12.820894,Fusch an der Großglocknerstraße, Austria
Temperate,Mountainous,One feature: meadows,46.533445,11.629584,Castelrotto, Italy
Temperate,Mountainous,One feature: forests,35.615547,-83.570884,Great Smoky Mountains National Parks, USA
Temperate,Mountainous,One feature: waterways,54.467693,-3.069811,Lake District National Park, UK
Temperate,Mountainous,One feature: Roads,46.5888440483149,8.48299455519022,Realp, Switzerland
Temperate,Mountainous,One feature: ?,,,
Temperate,Mountainous,Water heavy,49.5498941573725,-123.224362031999,Porteau Cove, Canada
Temperate,Mountainous,Water heavy,60.3385017431981,6.65686147014046,Lofthus, Norway
Temperate,Mountainous,Water heavy,57.569832500662,-5.51765837073881,Torridon and Kinlochewe, Scotland
Temperate,Mountainous,Water heavy,62.153469,-7.19519,Faroe Islands
Temperate,Mountainous,Water heavy,66.1032965556656,-23.1622490822439,Ísafjarðarbær, Island
